Date,Environmental Policy: (Worldwide),Environmental Policy: (United States),Carbon Credits: (Worldwide),Carbon Credits: (United States)
2004-01,80,74,0,0
2004-02,100,100,16,0
2004-03,94,76,0,0
2004-04,94,95,11,0
2004-05,82,73,11,0
2004-06,67,61,11,0
2004-07,63,57,11,0
2004-08,68,66,14,0
2004-09,87,87,12,0
2004-10,91,97,13,0
2004-11,91,87,17,0
2004-12,63,63,12,0
2005-01,68,67,15,0
2005-02,74,74,17,0
2005-03,85,68,17,0
2005-04,71,74,21,0
2005-05,64,56,25,10
2005-06,54,52,20,0
2005-07,50,45,22,0
2005-08,53,44,29,0
2005-09,58,63,29,0
2005-10,61,61,22,0
2005-11,68,65,19,0
2005-12,50,50,15,0
2006-01,58,55,26,9
2006-02,56,49,24,7
2006-03,67,57,21,10
2006-04,59,66,27,7
2006-05,51,50,29,10
2006-06,43,40,26,14
2006-07,36,32,28,14
2006-08,43,41,37,11
2006-09,46,52,32,10
2006-10,47,50,36,14
2006-11,56,54,38,14
2006-12,41,43,38,21
2007-01,49,52,41,21
2007-02,50,49,64,42
2007-03,47,46,100,100
2007-04,47,54,88,71
2007-05,47,42,74,54
2007-06,37,35,63,42
2007-07,38,38,74,67
2007-08,38,40,61,38
2007-09,42,50,66,39
2007-10,53,56,68,44
2007-11,52,52,72,56
2007-12,37,41,70,51
2008-01,45,45,62,41
2008-02,50,57,60,40
2008-03,46,50,78,70
2008-04,50,57,73,61
2008-05,42,47,64,49
2008-06,33,35,58,49
2008-07,30,31,71,59
2008-08,32,33,57,41
2008-09,44,52,57,36
2008-10,47,61,53,42
2008-11,47,61,51,38
2008-12,39,49,43,36
2009-01,40,50,47,39
2009-02,42,56,43,36
2009-03,43,49,49,42
2009-04,44,57,62,63
2009-05,41,49,40,33
2009-06,32,37,43,33
2009-07,32,38,50,37
2009-08,35,39,43,24
2009-09,40,50,41,26
2009-10,44,52,42,28
2009-11,46,53,50,32
2009-12,35,46,58,41
2010-01,37,45,38,26
2010-02,42,50,41,24
2010-03,45,48,36,23
2010-04,43,51,42,36
2010-05,38,42,35,24
2010-06,30,34,32,22
2010-07,26,28,27,16
2010-08,32,33,26,13
2010-09,33,37,28,12
2010-10,35,39,26,14
2010-11,37,38,27,15
2010-12,29,33,21,12
2011-01,31,35,24,14
2011-02,33,40,25,14
2011-03,36,39,28,16
2011-04,37,42,25,13
2011-05,32,35,25,13
2011-06,27,28,28,12
2011-07,23,24,30,9
2011-08,26,30,26,10
2011-09,32,40,26,11
2011-10,32,37,29,13
2011-11,33,36,27,13
2011-12,25,31,22,12
2012-01,28,31,23,9
2012-02,31,34,24,8
2012-03,31,33,24,10
2012-04,32,42,22,10
2012-05,32,31,22,9
2012-06,24,25,21,9
2012-07,23,23,21,8
2012-08,24,26,21,8
2012-09,29,33,21,7
2012-10,32,37,20,8
2012-11,33,38,19,9
2012-12,23,26,16,8
2013-01,25,28,18,10
2013-02,27,30,16,8
2013-03,28,30,14,8
2013-04,31,39,17,9
2013-05,27,28,12,7
2013-06,20,19,12,5
2013-07,20,21,11,5
2013-08,21,25,11,5
2013-09,28,34,11,7
2013-10,28,35,13,7
2013-11,27,30,12,7
2013-12,24,29,9,6
2014-01,26,30,10,6
2014-02,27,32,13,8
2014-03,28,31,10,6
2014-04,29,38,10,7
2014-05,26,29,10,6
2014-06,21,22,8,5
2014-07,18,20,7,4
2014-08,20,21,7,4
2014-09,26,34,9,6
2014-10,29,33,8,5
2014-11,27,28,9,6
2014-12,20,26,8,5
2015-01,22,26,8,5
2015-02,25,28,9,6
2015-03,26,30,9,6
2015-04,28,38,10,5
2015-05,25,28,9,5
2015-06,20,22,9,7
2015-07,18,21,7,4
2015-08,18,21,8,5
2015-09,27,37,9,6
2015-10,26,34,9,5
2015-11,24,32,9,6
2015-12,21,28,10,8
2016-01,23,27,8,5
2016-02,27,33,8,5
2016-03,25,32,8,5
2016-04,31,41,8,6
2016-05,26,29,8,5
2016-06,19,20,7,4
2016-07,16,16,6,4
2016-08,18,22,7,5
2016-09,25,33,8,4
2016-10,25,32,8,5
2016-11,29,37,9,6
2016-12,21,29,7,5
2017-01,23,34,8,5
2017-02,26,35,8,4
2017-03,26,36,8,5
2017-04,28,42,7,6
2017-05,28,32,7,5
2017-06,19,19,8,7
2017-07,15,17,6,4
2017-08,18,20,6,3
2017-09,23,33,7,5
2017-10,25,36,7,5
2017-11,25,34,7,4
2017-12,21,26,7,4
2018-01,22,27,7,4
2018-02,24,31,9,5
2018-03,24,28,8,4
2018-04,25,36,8,5
2018-05,23,30,7,4
2018-06,17,20,6,4
2018-07,16,19,5,3
2018-08,18,24,5,3
2018-09,22,31,7,4
2018-10,25,37,7,5
2018-11,22,30,7,4
2018-12,19,26,7,5
2019-01,20,27,7,5
2019-02,22,30,7,4
2019-03,23,31,9,4
2019-04,25,38,9,6
2019-05,23,32,11,6
2019-06,19,18,9,6
2019-07,17,19,8,5
2019-08,18,22,8,6
2019-09,26,36,10,7
2019-10,24,35,11,7
2019-11,24,31,10,6
2019-12,20,25,10,6
2020-01,21,30,12,8
2020-02,24,33,11,8
2020-03,20,28,8,6
2020-04,21,33,7,5
2020-05,20,31,8,5
2020-06,19,22,8,5
2020-07,18,22,8,5
2020-08,17,23,9,6
2020-09,26,39,10,7
2020-10,23,33,10,8
2020-11,20,26,10,7
2020-12,19,23,10,9
2021-01,17,20,12,10
2021-02,20,24,23,24
2021-03,19,23,16,14
2021-04,21,30,16,14
2021-05,20,27,21,17
2021-06,17,16,25,23
