time,cpu_index
411,155.85950453213843
412,141.0579870343661
413,130.44876321213656
414,147.07755704004094
415,107.24050084763776
416,151.36881335470454
417,233.28584682635048
418,264.65520766378404
419,220.78520806470843
420,197.2584407300004
421,213.50236867518862
422,177.47987986389577
423,206.89923748892804
424,359.9150313151718
425,377.713326424806
426,333.1623827769028
427,386.4458475712561
428,393.6508759059531
429,385.45254580511494
430,439.9885150952842
431,363.2228143166004
432,355.5589972176192
433,321.2599941208514
434,339.5469030454542
